tag_id,count
541241,71992
392019,71762
55804072,49672
800000568,48636
800001718,48325
9779785,48209
101461,42276
3325827,39535
800001783,38984
3326413,37764
800001096,36122
55860985,35391
4599165,35206
55751139,34531
101882,31759
5865253,29367
55756330,28147
101500,28085
10115859,27261
4859927,26659
82751,26298
800000841,25504
1354564,25255
102674,24418
4267687,24159
55850071,23399
800001784,22425
593341,21867
5852706,21185
14973559,19975
102598,19947
3935330,19925
4460587,19591
55744355,19589
55803230,18613
800000950,18582
55745368,18519
55735049,18346
37610473,17477
436980,17320
5872120,17188
15516043,16543
3486458,16523
101389,16475
55807734,16333
4434658,16187
89634,15741
5252718,15552
5481096,15473
5918541,14985
55798545,14711
530228,14531
55737387,13840
490886,13704
56060820,13411
101345,13287
482198,13249
3325524,12936
56095554,12658
15647638,12656
41443783,12440
800002360,12384
55848798,12381
224444,12032
55859481,11788
380677,11526
800001701,11423
445808,11245
55768596,11228
102142,11143
55781289,11087
55755303,10763
3443764,10750
516915,10710
56054692,10357
398309,10332
55763684,10191
55787804,9947
821535,9841
377848,9826
738455,9467
630273,9356
400723,9235
101494,9203
5015167,9124
380903,9012
101452,8951
800000940,8882
50000354,8857
764864,8849
10400776,8736
81774,8705
101803,8689
55809113,8684
101334,8662
800002392,8634
642250,8597
800001719,8574
5890724,8571
810895,8498
590136,8475
55752089,8423
55755306,8212
56095557,8188
9778216,8068
711993,8034
732090,7736
14480074,7699
102134,7654
55824656,7640
55755305,7599
5307497,7573
643902,7538
37755554,7447
663312,7334
3326825,7308
56095556,7198
55851128,7174
55821461,7138
13865992,7119
800001627,7047
9555534,7038
55766427,7016
102419,7003
1354069,6944
621344,6938
81624,6926
55760549,6925
55860984,6885
33415747,6809
9712985,6770
55776553,6631
5437843,6621
800000439,6577
4859876,6573
101593,6565
55789793,6545
161102,6534
43748,6521
719232,6449
196800,6392
55735048,6353
4093463,6350
4378415,6319
55798953,6284
843367,6275
55789223,6195
15846954,6127
409181,6077
55744120,6027
1357002,6025
471201,5987
55817413,5969
5744626,5935
540494,5917
55810308,5896
800001720,5856
55853850,5852
571524,5850
179846,5842
800001352,5795
548214,5716
55823194,5698
56080880,5690
56082496,5669
800002777,5627
800000462,5550
33406660,5492
800000063,5481
5245328,5454
102376,5418
556389,5410
9590868,5350
13664258,5290
55770867,5261
55751076,5246
55771266,5241
416123,5218
55749637,5218
595047,5163
5323995,5163
55855636,5113
800000276,5113
800002381,5089
150705,5036
410106,5033
101879,5032
55790224,5004
3323093,5001
531617,4974
56047479,4971
55793758,4970
697057,4936
378011,4923
55806614,4894
55783109,4890
9582059,4871
378315,4856
101451,4781
9603086,4777
5384194,4751
380310,4707
438424,4616
56048869,4609
865728,4548
5039641,4539
55859554,4533
735534,4509
55763439,4502
380763,4497
800001112,4491
638537,4474
55766123,4454
244405,4441
692540,4424
800002349,4388
800000460,4373
55762647,4367
5637394,4326
33407777,4319
55821907,4256
41555353,4152
55809073,4136
751495,4057
35860,4033
14274200,4007
55820144,3988
800000171,3979
157960,3972
165536,3945
102538,3929
587460,3913
55825169,3896
100907,3895
55781186,3867
800000468,3828
33526456,3820
76216,3817
380852,3777
9781111,3766
778928,3761
697404,3705
502928,3697
800000273,3691
5744673,3652
102101,3630
55777057,3619
9592405,3610
289071,3578
219682,3550
225745,3548
4637375,3532
568971,3458
412153,3426
5222106,3423
101219,3422
1355126,3392
1357735,3366
519036,3340
9595390,3339
