id_1,id_2,score
2345203561710400875,5344606281729891758,1.0
759945328762912122,5560784129870034298,0.85
2336209090533711226,8010747189096226170,1.0
2588403135132530094,5380633252649788846,0.25
3245934094259209594,120437073895839098,1.0
6362419613443853690,7200089050526279034,0.0
7227107789393765754,3354019373384056238,0.7
8578194210575213946,5488725646193282478,0.0
615826473756757422,8605209347372711290,0.15
1723712530776243578,1732720421145302394,0.0
1084200648645307822,7974680697562568110,0.0
3552175213472675246,1831799250224121262,0.0
5173479444207201658,3345014928310617518,0.0
4795168083932450170,913071075172441466,0.5
354596484552957358,6200290402102099374,0.05
5191479001521423738,5434682456947287418,0.0
2489324270544786862,4335801240075396526,0.0
1993928665900314030,3101793538590145966,0.15
5830993616030879098,2381243315240404346,1.0
904060418155294074,8992520523670793646,1.0
5812979642437729710,4822188349326663086,0.0
6443484344301573483,2912663372751961518,1.0
5128432776742593966,4696089065338910126,0.05
498729984902385070,6011138841204073902,1.0
7461303362777402746,7632444851174993326,0.65
5966089203671958958,2885639435719855534,1.0
3083791089360025006,6758737592206235054,1.0
1489515917419701626,2696489582908087674,0.0
3119834013489728942,7425271596745885102,0.0
6776754331475930542,5470707244249044398,0.95
7263144801429011886,3435076761361304954,0.45
2840609113118418298,2318191648534386042,1.0
2732513239175869818,3624238576151481722,0.55
1363415867459972526,804970071976779182,0.45
8064786459832520110,1390449567302127022,1.0
5065385460729541995,1768749102374856110,0.0
1957902810890558894,4533962475492154746,0.0
4633044400813622702,841013511393678766,1.0
4669072115859826094,1570595315585492346,0.0
1309373919479500206,8064776266472160686,0.0
2498330938845605294,1057181791074229678,0.0
2462294137495930286,21351319681682862,0.6
6506536559326012779,1399453587787419054,0.0
1048165530858446187,8262938639605706158,0.05
2543368231160518062,5677875550487061934,0.0
3281947164177190318,2975703187117585838,0.85
3480117135783673262,7857589456046257582,0.05
777961858315906478,3020750319171249582,0.5
1732720306840772014,8578190267396124078,0.0
5560784809506821550,3813388911904574894,0.85
6218309672164339118,1030161266502387118,0.5
8100810708686996858,4533959787206430074,1.0
147447433075154298,6884833139841133946,0.15
4615030557188705710,471718325644793262,0.5
534768201036996014,6488517442877670778,0.0
1174276830029694330,7929674232541570478,0.0
6128227355012255098,8866426676268760494,1.0
1624635666440951214,3340197540461998,0.25
7893649837665037742,768952277725756846,0.05
3336004251723976110,8569183204898858414,0.25
624830594534223278,705899394228729262,0.9
3417070885455517102,3930470776841491886,0.65
4461899607506488750,534760734690596270,0.95
435677064299101614,6569577557020511662,0.6
3308968667351793070,768953016223784366,0.0
7461292149745270138,8974512712203281838,1.0
6173275521272180142,7200085995777115566,1.0
2966703084395601326,8731301549816571310,0.5
219509899454492078,7254133793556467066,0.0
2966706715546736046,7956697136179406254,0.65
4308785772940959150,4578998142749898158,0.35
7614427875681406330,4029559299811397038,0.1
1363398823143159214,5029354471274806702,0.75
8920467778898777518,8019732318981219758,0.3
1741725311405721006,2345207639858148782,0.0
3038760908019555758,7497332557418874286,0.5
3903454206945686958,3254924515182239150,0.0
2939676042458623406,1399456772455441838,0.55
3272957457781894522,2300172525318976942,0.0
1867829903669853562,5083397288396424622,0.05
327596495270196654,75393715294309806,0.8
1894852746198357355,4957286933804993966,0.35
6092191464432666030,8353003521424465326,0.6
7281160973087831418,8695294412914228654,0.6
669864918110660014,8857415392184419758,0.4
