id,g_id
1678680891334647162,0
5254540759602646446,0
5650850144185148846,0
1462507261765473658,0
4443891407593706926,0
6695674417308306862,0
4110622749436837294,0
4894246601479042426,0
5650851200147334574,0
228519202047276410,0
8091801126735623598,0
444694089402312110,0
7155059669090078126,0
8848406373638675834,0
2615428567420237230,0
1318388547832370606,0
5146439735777547694,0
4200690892930966958,0
1543562705536619950,0
3543168948164793722,0
913067132956896686,0
228520500406789483,0
516750015942966702,0
7668468732734025134,0
1984923077010115962,0
2246130569211786618,0
6947888485402994094,0
2786567139816115630,0
1993931437703380398,0
3579197221461874042,0
1192288676361465262,0
5776956986951507374,0
2804579151653608826,0
4876231681990147450,0
282563849313828270,0
7398253690585462190,0
4362816115192636846,0
2714506320389744046,0
5137439567519950254,0
2894649118763275642,0
8857416628731835822,0
3912456351979566458,0
7434276633727335802,0
5903056559556232622,0
8226908764708068715,0
1354419300610868654,0
2813583906764201390,0
1327398798001767854,0
5308568415906647470,0
7551373828619789742,0
3381040400437792174,0
4155644514986814894,0
6362420708419915182,0
2462294354493124014,0
3714277089240388986,0
1534559884664872366,0
3813383966833106350,0
5470709035593047470,0
8641245218551629178,0
2552372527169156526,0
1741730528923190702,0
2020949701543087482,0
8001731509979293102,0
120412532934387118,0
7533353305430957419,0
687869216772969850,0
5515740532200746414,0
6245329051560930734,0
4533961927573865902,0
3191885294218698158,0
8974506467822024110,0
4398850516350004587,0
8560178907016334766,0
6308377141227574635,0
3759341213294364078,0
5497733753238640046,0
2642443052407463342,0
4723103193522048378,0
2633427466968085934,0
5578800314501752166,0
2192089293018385838,0
7155056956515329454,0
5182454999524681134,0
5749932203039554938,0
2687485411578312110,0
1381442173741755822,0
6686682424627787182,0
5966106150452409722,0
120433985327852922,0
4236724579839540654,0
2696495048556135802,0
3642246142069896570,0
7371230246435151226,0
5497730669537811834,0
8091804406131457402,0
6569587522206530990,0
2255133297045222830,0
4083601627073895854,0
8190884883846059386,0
129441945929573806,0
2894653675608976762,0
6812769786468640174,0
822980888676533678,0
2336200462782377338,0
6362423220727657902,0
1246337120143275438,0
2903635927224597882,0
4524950004709526958,0
2237118347858443694,0
4497918823851883950,0
7578373575167948206,0
2038957453171754414,0
4524953314247153070,0
1741729791449488814,0
